start,end,action,object,color,description
1.7,4.3,1,0,#6d19c7,
6.1,7.8,1,0,#6d19c7,
8.6,10,2,0,#467e28,
10.1,11.8,2,0,#467e28,
23.3,24.4,1,0,#6d19c7,
24.8,25.9,2,0,#467e28,
32,33.1,1,0,#6d19c7,
33.2,33.7,1,0,#6d19c7,
33.9,36.9,1,0,#6d19c7,
37.9,39.9,2,0,#467e28,
41.9,42.8,1,0,#6d19c7,
42.9,44.4,1,0,#6d19c7,
44.8,50.6,2,0,#467e28,
50.9,52.4,1,0,#6d19c7,
54.2,57.1,2,0,#467e28,
58.7,63.3,1,0,#6d19c7,
65.7,67.6,2,0,#467e28,
72.1,77.1,2,0,#467e28,
78.3,80.5,1,0,#6d19c7,
80.6,82.4,2,0,#467e28,
82.5,85.9,3,0,#499b5a,
87.7,89.3,2,0,#467e28,
89.4,90.6,3,0,#499b5a,
90.7,92.2,1,0,#6d19c7,
92.3,95.6,4,0,#6deb90,
0,1.6,4,0,#6deb90,
4.4,6,4,0,#6deb90,
7.9,8.5,4,0,#6deb90,
22.6,23.2,4,0,#6deb90,
24.5,24.7,4,0,#6deb90,
31.1,31.9,4,0,#6deb90,
37,37.8,4,0,#6deb90,
40,41.8,4,0,#6deb90,
44.5,44.7,4,0,#6deb90,
50.7,50.8,4,0,#6deb90,
52.5,54.1,4,0,#6deb90,
57.2,58.6,4,0,#6deb90,
63.4,65.6,4,0,#6deb90,
67.7,72,4,0,#6deb90,
77.2,78.2,4,0,#6deb90,
86,87.6,4,0,#6deb90,
