start,end,action,object,color,description
4.3,7.9,1,0,#6d19c7,
9.9,12.9,2,0,#467e28,
14.8,16.3,1,0,#6d19c7,
16.4,17,2,0,#467e28,
17.1,17.9,1,0,#6d19c7,
19.2,23.2,2,0,#467e28,
23.8,26,1,0,#6d19c7,
27.1,28.9,2,0,#467e28,
33.1,35.4,1,0,#6d19c7,
35.5,37,2,0,#467e28,
37.1,41.7,3,0,#499b5a,
41.8,43,1,0,#6d19c7,
43.1,44.8,1,0,#6d19c7,
47.5,49.2,2,0,#467e28,
59.2,64.1,1,0,#6d19c7,
65.6,66.1,1,0,#6d19c7,
66.2,68.2,2,0,#467e28,
69.3,71.3,2,0,#467e28,
80.1,80.4,1,0,#6d19c7,
80.5,82.9,2,0,#467e28,
84,86.5,2,0,#467e28,
91,92.1,1,0,#6d19c7,
92.2,94.2,1,0,#6d19c7,
94.3,95.5,2,0,#467e28,
95.6,97.1,2,0,#467e28,
97.2,100.2,3,0,#499b5a,
102.4,104.5,2,0,#467e28,
104.6,106.3,2,0,#467e28,
106.4,110.5,3,0,#499b5a,
110.6,111.8,1,0,#6d19c7,
111.9,112.9,1,0,#6d19c7,
113,114,1,0,#6d19c7,
115.3,116.1,1,0,#6d19c7,
116.2,117.3,2,0,#467e28,
120.7,121.7,1,0,#6d19c7,
122.7,124.2,1,0,#6d19c7,
1.8,4.2,4,0,#6deb90,
8,9.8,4,0,#6deb90,
13,14.7,4,0,#6deb90,
18,19.1,4,0,#6deb90,
23.3,23.7,4,0,#6deb90,
26.1,27,4,0,#6deb90,
44.9,47.4,4,0,#6deb90,
57.1,59.1,4,0,#6deb90,
64.2,65.5,4,0,#6deb90,
77,80,4,0,#6deb90,
88.7,90.9,4,0,#6deb90,
100.3,102.3,4,0,#6deb90,
114.1,115.2,4,0,#6deb90,
118.8,120.6,4,0,#6deb90,
121.8,122.6,4,0,#6deb90,
124.3,125.6,4,0,#6deb90,
