start,end,action,object,color,description
4.2,7.3,1,0,#6d19c7,
9.7,12.7,2,0,#467e28,
17.7,20.2,1,0,#6d19c7,
21.7,25.6,2,0,#467e28,
26.4,28.5,1,0,#6d19c7,
29.8,32.2,2,0,#467e28,
35.4,37.4,1,0,#6d19c7,
37.5,39,2,0,#467e28,
39.1,43.3,3,0,#499b5a,
43.4,44.7,1,0,#6d19c7,
44.8,48.3,1,0,#6d19c7,
50.4,52.6,2,0,#467e28,
63.1,67,1,0,#6d19c7,
68.3,69.2,1,0,#6d19c7,
69.3,70.8,2,0,#467e28,
72,74,2,0,#467e28,
79.9,80.5,1,0,#6d19c7,
80.6,81.6,2,0,#467e28,
83.2,86,2,0,#467e28,
91.5,92.8,1,0,#6d19c7,
93,95.4,1,0,#6d19c7,
95.5,96.3,2,0,#467e28,
96.4,99.2,2,0,#467e28,
99.3,101.2,3,0,#499b5a,
104,105.2,2,0,#467e28,
105.3,107.2,2,0,#467e28,
107.3,112.4,3,0,#499b5a,
112.5,114.5,1,0,#6d19c7,
115.3,117,1,0,#6d19c7,
118.5,119.4,1,0,#6d19c7,
119.5,120.9,2,0,#467e28,
124.8,126.2,1,0,#6d19c7,
126.9,128.3,1,0,#6d19c7,
128.4,130.1,4,0,#6deb90,
1.6,4.1,4,0,#6deb90,
7.4,9.6,4,0,#6deb90,
12.8,14.6,4,0,#6deb90,
15.2,17.6,1,0,#6d19c7,
20.3,21.6,4,0,#6deb90,
25.7,26.3,4,0,#6deb90,
28.6,29.7,4,0,#6deb90,
48.4,50.3,4,0,#6deb90,
60.9,63,4,0,#6deb90,
67.1,68.2,4,0,#6deb90,
76.6,79.8,4,0,#6deb90,
81.7,83.1,4,0,#6deb90,
89.1,91.4,4,0,#6deb90,
101.3,103.9,4,0,#6deb90,
114.6,115.2,4,0,#6deb90,
117.1,118.4,4,0,#6deb90,
121,124.7,4,0,#6deb90,
126.3,126.8,4,0,#6deb90,
