start,end,action,object,color,description
4.5,8,1,0,#6d19c7,
9.9,13.3,2,0,#467e28,
15.2,16.7,1,0,#6d19c7,
16.8,17,2,0,#467e28,
17.1,18.4,1,0,#6d19c7,
20.5,25.8,2,0,#467e28,
25.9,28.2,1,0,#6d19c7,
29.3,31.2,1,0,#6d19c7,
32.4,33.6,2,0,#467e28,
39.7,41.7,1,0,#6d19c7,
41.8,43.6,2,0,#467e28,
43.7,46.5,3,0,#499b5a,
46.6,47.8,1,0,#6d19c7,
47.9,49.4,1,0,#6d19c7,
51.7,54,2,0,#467e28,
67.5,71.1,1,0,#6d19c7,
72.9,73.4,1,0,#6d19c7,
73.5,74.8,2,0,#467e28,
77.5,79.2,2,0,#467e28,
88.4,89.1,1,0,#6d19c7,
89.2,90.7,2,0,#467e28,
92.3,93.9,2,0,#467e28,
101.3,102.6,1,0,#6d19c7,
102.8,104.9,1,0,#6d19c7,
105,106.3,2,0,#467e28,
106.4,110.1,2,0,#467e28,
110.2,116.8,3,0,#499b5a,
118.8,120.7,2,0,#467e28,
120.8,122.4,2,0,#467e28,
122.5,126.2,3,0,#499b5a,
126.3,127.7,1,0,#6d19c7,
128.2,129.2,1,0,#6d19c7,
129.3,130.1,1,0,#6d19c7,
132,133.3,2,0,#467e28,
139.3,141,1,0,#6d19c7,
141.5,143,1,0,#6d19c7,
1.1,4.4,4,0,#6deb90,
8.1,9.8,4,0,#6deb90,
13.4,15.1,4,0,#6deb90,
18.5,20.4,4,0,#6deb90,
28.3,29.2,4,0,#6deb90,
31.3,32.3,4,0,#6deb90,
49.5,51.6,4,0,#6deb90,
65.3,67.4,4,0,#6deb90,
71.2,72.8,4,0,#6deb90,
85.3,88.3,4,0,#6deb90,
99,101.2,4,0,#6deb90,
116.9,118.7,4,0,#6deb90,
127.8,128.1,4,0,#6deb90,
130.2,131.9,4,0,#6deb90,
137.9,139.2,4,0,#6deb90,
141.1,141.4,4,0,#6deb90,
143.1,144.6,4,0,#6deb90,
