start,end,action,object,color,description
3.7,7.2,1,0,#6d19c7,
9.8,13.2,2,0,#467e28,
15.2,17.6,1,0,#6d19c7,
19.2,20.8,1,0,#6d19c7,
22.3,27.4,2,0,#467e28,
28.2,30,1,0,#6d19c7,
31.4,32.7,2,0,#467e28,
33.8,35.1,1,0,#6d19c7,
38.3,40.4,1,0,#6d19c7,
40.5,42.7,2,0,#467e28,
42.8,45.8,3,0,#499b5a,
45.9,47,1,0,#6d19c7,
47.1,51.3,1,0,#6d19c7,
54,56.4,2,0,#467e28,
67.4,72.8,1,0,#6d19c7,
73.7,74.2,1,0,#6d19c7,
74.3,75.6,2,0,#467e28,
77,79.5,2,0,#467e28,
86.9,87.3,1,0,#6d19c7,
87.4,89.6,2,0,#467e28,
91.3,92.7,2,0,#467e28,
96.3,97.2,1,0,#6d19c7,
97.4,99.7,1,0,#6d19c7,
99.8,100.9,2,0,#467e28,
101,102.5,2,0,#467e28,
102.6,105.3,3,0,#499b5a,
107.5,109,2,0,#467e28,
109.1,111,2,0,#467e28,
111.1,114.2,3,0,#499b5a,
116.3,118,1,0,#6d19c7,
119.9,120.4,1,0,#6d19c7,
120.5,122,2,0,#467e28,
125.4,126.7,1,0,#6d19c7,
127.6,129,1,0,#6d19c7,
129.1,130.9,4,0,#6deb90,
1,3.6,4,0,#6deb90,
7.3,9.7,4,0,#6deb90,
13.3,15.1,4,0,#6deb90,
17.7,19.1,4,0,#6deb90,
20.9,22.2,4,0,#6deb90,
27.5,28.1,4,0,#6deb90,
30.1,31.3,4,0,#6deb90,
51.4,53.9,4,0,#6deb90,
64.6,67.3,4,0,#6deb90,
72.9,73.6,4,0,#6deb90,
75.7,76.9,4,0,#6deb90,
83,86.8,4,0,#6deb90,
94.2,96.2,4,0,#6deb90,
105.4,107.4,4,0,#6deb90,
114.3,115.5,1,0,#6d19c7,
115.6,116.2,4,0,#6deb90,
118.1,119.8,4,0,#6deb90,
123.5,125.3,4,0,#6deb90,
126.8,127.5,4,0,#6deb90,
