start,end,action,object,color,description
2.6,4.2,1,0,#6d19c7,
4.9,7.5,1,0,#6d19c7,
8.3,10.7,2,0,#467e28,
10.8,12.6,2,0,#467e28,
21.5,22.6,1,0,#6d19c7,
23.2,24.4,2,0,#467e28,
27.5,29,1,0,#6d19c7,
29.1,29.9,1,0,#6d19c7,
30,31.8,1,0,#6d19c7,
33.1,34.8,2,0,#467e28,
36.9,37.7,1,0,#6d19c7,
37.9,39.3,1,0,#6d19c7,
39.7,44.3,2,0,#467e28,
45,46.4,1,0,#6d19c7,
48,50.6,2,0,#467e28,
52.4,54.8,1,0,#6d19c7,
56.8,58.9,2,0,#467e28,
63,65.1,2,0,#467e28,
70.1,72.3,1,0,#6d19c7,
72.4,73.4,2,0,#467e28,
73.5,75.1,3,0,#499b5a,
76.9,78.8,2,0,#467e28,
78.9,81.1,3,0,#499b5a,
81.2,83,1,0,#6d19c7,
83.7,85,1,0,#6d19c7,
85.1,87.2,4,0,#6deb90,
1.9,2.5,4,0,#6deb90,
7.6,8.2,4,0,#6deb90,
20.5,21.4,4,0,#6deb90,
22.7,23.1,4,0,#6deb90,
26.6,27.4,4,0,#6deb90,
31.9,33,4,0,#6deb90,
36,36.8,4,0,#6deb90,
39.4,39.6,4,0,#6deb90,
44.4,44.9,4,0,#6deb90,
46.5,47.9,4,0,#6deb90,
50.7,52.3,4,0,#6deb90,
54.9,56.7,4,0,#6deb90,
60.7,62.9,4,0,#6deb90,
75.2,76.8,4,0,#6deb90,
83.1,83.6,4,0,#6deb90,
