start,end,action,object,color,description
4.4,7.4,1,0,#6d19c7,
10.1,12.6,2,0,#467e28,
14.7,16,1,0,#6d19c7,
16.1,16.7,2,0,#467e28,
16.8,17.6,1,0,#6d19c7,
16.8,21.9,2,0,#467e28,
22,24.7,1,0,#6d19c7,
25.1,27.9,1,0,#6d19c7,
29.3,31.2,1,0,#6d19c7,
31.3,32,1,0,#6d19c7,
32.1,32.6,1,0,#6d19c7,
32.7,33.9,2,0,#467e28,
36.1,37.9,1,0,#6d19c7,
38,39.3,2,0,#467e28,
39.4,43.3,3,0,#499b5a,
43.4,44.5,1,0,#6d19c7,
44.6,46,1,0,#6d19c7,
48.6,50.8,2,0,#467e28,
62.3,66.6,1,0,#6d19c7,
67.8,68.7,1,0,#6d19c7,
68.8,70,2,0,#467e28,
71.8,74.8,2,0,#467e28,
82.6,83.2,1,0,#6d19c7,
83.3,84.3,2,0,#467e28,
85.9,88.3,2,0,#467e28,
92.4,93.7,1,0,#6d19c7,
93.8,95.8,1,0,#6d19c7,
95.9,96.9,2,0,#467e28,
97,99.4,2,0,#467e28,
99.5,101.7,3,0,#499b5a,
104.2,105.5,2,0,#467e28,
105.6,106.7,2,0,#467e28,
106.8,109.2,3,0,#499b5a,
109.3,110.7,1,0,#6d19c7,
110.8,111.9,1,0,#6d19c7,
112,113.5,1,0,#6d19c7,
114.9,115.5,1,0,#6d19c7,
115.6,117.8,2,0,#467e28,
121.2,122.5,1,0,#6d19c7,
123.3,124.4,1,0,#6d19c7,
1.5,4.3,4,0,#6deb90,
7.5,10,4,0,#6deb90,
12.7,14.6,4,0,#6deb90,
24.8,25,4,0,#6deb90,
28,29.2,4,0,#6deb90,
46.1,48.5,4,0,#6deb90,
60,62.2,4,0,#6deb90,
66.7,67.7,4,0,#6deb90,
78.5,82.5,4,0,#6deb90,
90.2,92.3,4,0,#6deb90,
101.8,104.1,4,0,#6deb90,
113.6,114.8,4,0,#6deb90,
117.9,121.1,4,0,#6deb90,
122.6,123.2,4,0,#6deb90,
124.5,125.9,4,0,#6deb90,
