start,end,action,object,color,description
1.4,3.2,1,0,#6d19c7,
4.4,6.3,1,0,#6d19c7,
7.1,9.2,2,0,#467e28,
9.3,10.3,2,0,#467e28,
20.8,21.8,1,0,#6d19c7,
22.4,23.5,2,0,#467e28,
26.3,27.5,1,0,#6d19c7,
27.6,28.2,1,0,#6d19c7,
28.3,30.9,1,0,#6d19c7,
32,33.8,2,0,#467e28,
35.7,36.7,1,0,#6d19c7,
36.9,38.2,1,0,#6d19c7,
38.8,42.9,2,0,#467e28,
43.2,44.6,1,0,#6d19c7,
46.4,48.5,2,0,#467e28,
50.5,52.6,1,0,#6d19c7,
55.6,57.5,2,0,#467e28,
62.7,66.5,2,0,#467e28,
70.6,73.5,1,0,#6d19c7,
73.6,75,2,0,#467e28,
75.2,82.5,3,0,#499b5a,
90,91.8,2,0,#467e28,
94.1,96.5,1,0,#6d19c7,
96.6,98.1,2,0,#467e28,
98.2,101.6,3,0,#499b5a,
103.9,105.1,1,0,#6d19c7,
6.4,7,4,0,#6deb90,
19.9,20.7,4,0,#6deb90,
21.9,22.3,4,0,#6deb90,
25.5,26.2,4,0,#6deb90,
31,31.9,4,0,#6deb90,
34.7,35.6,4,0,#6deb90,
38.3,38.7,4,0,#6deb90,
43,43.1,4,0,#6deb90,
44.7,46.3,4,0,#6deb90,
48.6,50.4,4,0,#6deb90,
52.7,55.5,4,0,#6deb90,
60.2,62.6,4,0,#6deb90,
101.7,103.1,1,0,#6d19c7,
103.2,103.8,4,0,#6deb90,
105.2,106.7,4,0,#6deb90,
