start,end,action,object,color,description
0,1.8,1,0,#6d19c7,
2.3,3.9,1,0,#6d19c7,
5,6.8,2,0,#467e28,
6.9,8.7,2,0,#467e28,
24.3,25.4,1,0,#6d19c7,
25.9,27.4,2,0,#467e28,
37.4,38.5,1,0,#6d19c7,
38.6,39.2,1,0,#6d19c7,
39.6,41,1,0,#6d19c7,
41.7,43.6,2,0,#467e28,
45.8,46.8,1,0,#6d19c7,
46.9,48.1,1,0,#6d19c7,
48.5,54.3,2,0,#467e28,
54.5,56.2,1,0,#6d19c7,
57.8,60.4,2,0,#467e28,
62.1,64.9,1,0,#6d19c7,
68.4,70.7,2,0,#467e28,
75.5,79.5,2,0,#467e28,
79.6,82.8,1,0,#6d19c7,
82.9,84.1,2,0,#467e28,
84.2,86.3,3,0,#499b5a,
88.2,89,2,0,#467e28,
89.1,91.2,3,0,#499b5a,
91.3,92.5,1,0,#6d19c7,
93.3,94.8,1,0,#6d19c7,
94.9,96.6,4,0,#6deb90,
1.9,2.2,4,0,#6deb90,
4,4.9,4,0,#6deb90,
23.2,24.2,4,0,#6deb90,
25.5,25.8,4,0,#6deb90,
36.5,37.3,4,0,#6deb90,
39.3,39.5,4,0,#6deb90,
41.1,41.6,4,0,#6deb90,
44.8,45.7,4,0,#6deb90,
48.2,48.4,4,0,#6deb90,
56.3,57.7,4,0,#6deb90,
60.5,62,4,0,#6deb90,
65,68.3,4,0,#6deb90,
72.6,75.4,4,0,#6deb90,
86.4,88.1,4,0,#6deb90,
92.6,93.2,4,0,#6deb90,
