start,end,action,object,color,description
1.9,3.8,1,0,#6d19c7,
4.2,6.7,1,0,#6d19c7,
6.8,8.8,1,0,#6d19c7,
8.9,10.9,1,0,#6d19c7,
11.6,13.5,2,0,#467e28,
13.6,15.8,2,0,#467e28,
26.5,27.5,1,0,#6d19c7,
28,29.3,2,0,#467e28,
32.6,33.6,1,0,#6d19c7,
33.7,34.1,1,0,#6d19c7,
34.6,36.1,1,0,#6d19c7,
37.3,40.1,2,0,#467e28,
43.8,45,1,0,#6d19c7,
45.1,46.4,1,0,#6d19c7,
46.9,51,2,0,#467e28,
51.4,52.8,1,0,#6d19c7,
54.7,56.5,2,0,#467e28,
58.2,61.4,1,0,#6d19c7,
64.6,68.1,2,0,#467e28,
74.7,78.5,2,0,#467e28,
80.4,82.6,1,0,#6d19c7,
82.7,83.4,2,0,#467e28,
83.5,85.3,3,0,#499b5a,
87.3,87.8,2,0,#467e28,
87.9,89.9,3,0,#499b5a,
90,91.6,1,0,#6d19c7,
92.1,93.5,1,0,#6d19c7,
93.6,95.6,4,0,#6deb90,
1.1,1.8,4,0,#6deb90,
11,11.5,4,0,#6deb90,
25.6,26.4,4,0,#6deb90,
27.6,27.9,4,0,#6deb90,
31.4,32.5,4,0,#6deb90,
34.2,34.5,4,0,#6deb90,
36.2,37.2,4,0,#6deb90,
42.7,43.7,4,0,#6deb90,
46.5,46.8,4,0,#6deb90,
51.1,51.3,4,0,#6deb90,
52.9,54.6,4,0,#6deb90,
56.6,58.1,4,0,#6deb90,
61.5,64.5,4,0,#6deb90,
71.8,74.6,4,0,#6deb90,
85.4,87.2,4,0,#6deb90,
91.7,92,4,0,#6deb90,
