start,end,action,object,color,description
3.8,7,1,0,#6d19c7,
9.8,12.6,2,0,#467e28,
14.6,15.9,1,0,#6d19c7,
16,16.5,2,0,#467e28,
16.6,19.1,1,0,#6d19c7,
20.1,24.3,2,0,#467e28,
25.2,27.1,1,0,#6d19c7,
28.7,30,2,0,#467e28,
30.7,31.3,1,0,#6d19c7,
32.8,33.5,1,0,#6d19c7,
33.6,34.2,1,0,#6d19c7,
39,41,1,0,#6d19c7,
41.1,42.8,2,0,#467e28,
42.9,46.3,3,0,#499b5a,
46.4,47.5,1,0,#6d19c7,
47.7,50.2,1,0,#6d19c7,
52.7,55,2,0,#467e28,
72.5,75.9,1,0,#6d19c7,
77.3,77.8,1,0,#6d19c7,
77.9,79,2,0,#467e28,
80.9,83.5,2,0,#467e28,
89.2,89.8,1,0,#6d19c7,
89.9,90.9,2,0,#467e28,
91.8,94.2,2,0,#467e28,
99.6,100.7,1,0,#6d19c7,
101,102.9,1,0,#6d19c7,
101,104,2,0,#467e28,
104.1,105.9,2,0,#467e28,
106,109,3,0,#499b5a,
111.9,114.5,2,0,#467e28,
114.6,117.4,2,0,#467e28,
117.5,124.4,3,0,#499b5a,
124.5,125.8,1,0,#6d19c7,
126.5,127.2,1,0,#6d19c7,
127.3,128.2,1,0,#6d19c7,
129.8,130.4,1,0,#6d19c7,
130.5,132.1,2,0,#467e28,
136.7,138.2,1,0,#6d19c7,
138.9,140.1,1,0,#6d19c7,
1.3,3.7,4,0,#6deb90,
7.1,9.7,4,0,#6deb90,
12.7,14.5,4,0,#6deb90,
19.4,20,4,0,#6deb90,
24.4,25.1,4,0,#6deb90,
27.2,28.6,4,0,#6deb90,
50.3,52.6,4,0,#6deb90,
70.1,72.4,4,0,#6deb90,
76,77.2,4,0,#6deb90,
86.2,89.1,4,0,#6deb90,
97.1,99.5,4,0,#6deb90,
109.1,111.8,4,0,#6deb90,
125.9,126.4,4,0,#6deb90,
128.3,129.7,4,0,#6deb90,
134.6,136.6,4,0,#6deb90,
138.3,138.8,4,0,#6deb90,
140.2,142.1,4,0,#6deb90,
