start,end,action,object,color,description
2.4,4.9,1,0,#6d19c7,
5.8,7.3,1,0,#6d19c7,
8,10.3,2,0,#467e28,
10.4,13.6,2,0,#467e28,
25.3,26.3,1,0,#6d19c7,
26.9,28.4,2,0,#467e28,
33.3,34.6,1,0,#6d19c7,
34.7,35.3,1,0,#6d19c7,
35.8,37.4,1,0,#6d19c7,
38.2,39.8,2,0,#467e28,
42,42.9,1,0,#6d19c7,
43,44.5,1,0,#6d19c7,
44.7,49.8,2,0,#467e28,
50.2,51.7,1,0,#6d19c7,
53.4,57.4,2,0,#467e28,
58.7,62.2,1,0,#6d19c7,
66.7,69.2,2,0,#467e28,
76.8,80.9,2,0,#467e28,
81.2,84,1,0,#6d19c7,
84.1,84.9,2,0,#467e28,
85,87.3,3,0,#499b5a,
89.2,90.4,2,0,#467e28,
90.5,92,3,0,#499b5a,
92.1,93.4,1,0,#6d19c7,
94.2,95.2,1,0,#6d19c7,
95.3,97.1,4,0,#6deb90,
1.8,2.3,4,0,#6deb90,
7.4,7.9,4,0,#6deb90,
24.1,25.2,4,0,#6deb90,
26.4,26.8,4,0,#6deb90,
32.4,33.2,4,0,#6deb90,
35.4,35.7,4,0,#6deb90,
37.5,38.1,4,0,#6deb90,
40.9,41.9,4,0,#6deb90,
49.9,50.1,4,0,#6deb90,
51.8,53.3,4,0,#6deb90,
57.5,58.6,4,0,#6deb90,
62.3,66.6,4,0,#6deb90,
73.7,76.7,4,0,#6deb90,
81,81.1,4,0,#6deb90,
87.4,89.1,4,0,#6deb90,
93.5,94.1,4,0,#6deb90,
