start,end,action,object,color,description
1.7,4,1,0,#6d19c7,
4.6,7.5,1,0,#6d19c7,
8.1,10.5,2,0,#467e28,
10.6,11.9,2,0,#467e28,
23,24.1,1,0,#6d19c7,
24.5,25.9,2,0,#467e28,
40.6,41.9,1,0,#6d19c7,
42,42.6,1,0,#6d19c7,
42.8,44.3,1,0,#6d19c7,
44.9,48.3,2,0,#467e28,
50.3,51.3,1,0,#6d19c7,
51.4,52.8,1,0,#6d19c7,
53.3,57.5,2,0,#467e28,
57.7,59.4,1,0,#6d19c7,
60.7,62.8,2,0,#467e28,
64.5,66.9,1,0,#6d19c7,
70.1,72.3,2,0,#467e28,
79.1,86.8,2,0,#467e28,
86.9,90.2,1,0,#6d19c7,
90.3,91.7,2,0,#467e28,
91.8,93.9,3,0,#499b5a,
96,97,2,0,#467e28,
97.1,98.8,3,0,#499b5a,
98.9,100.5,3,0,#499b5a,
101.1,102.4,1,0,#6d19c7,
102.5,104.1,4,0,#6deb90,
1,1.6,4,0,#6deb90,
7.6,8,4,0,#6deb90,
21.3,22.9,4,0,#6deb90,
24.2,24.4,4,0,#6deb90,
39.7,40.5,4,0,#6deb90,
44.4,44.8,4,0,#6deb90,
48.4,50.2,4,0,#6deb90,
52.9,53.2,4,0,#6deb90,
59.5,60.6,4,0,#6deb90,
62.9,64.4,4,0,#6deb90,
67,70,4,0,#6deb90,
76.5,79,4,0,#6deb90,
94,95.9,4,0,#6deb90,
100.6,101,4,0,#6deb90,
