start,end,action,object,color,description
4.5,7.4,1,0,#6d19c7,
10,12.7,2,0,#467e28,
14.8,16.1,1,0,#6d19c7,
16.2,16.6,2,0,#467e28,
16.7,17.7,1,0,#6d19c7,
19.1,24.7,2,0,#467e28,
25.2,27.7,1,0,#6d19c7,
29.6,29.9,2,0,#467e28,
30,31.1,1,0,#6d19c7,
31.1,31.6,1,0,#6d19c7,
36.1,37.9,1,0,#6d19c7,
38,39.3,2,0,#467e28,
39.4,43.3,3,0,#499b5a,
43.4,44.5,1,0,#6d19c7,
44.6,46,1,0,#6d19c7,
48.5,50.9,2,0,#467e28,
62.3,66.7,1,0,#6d19c7,
67.8,68.7,1,0,#6d19c7,
68.8,70.3,2,0,#467e28,
72,74.6,2,0,#467e28,
82.6,83.2,1,0,#6d19c7,
83.3,84.4,2,0,#467e28,
85.9,87.7,2,0,#467e28,
92.5,93.6,1,0,#6d19c7,
93.8,95.8,1,0,#6d19c7,
95.9,96.9,2,0,#467e28,
97,99.3,2,0,#467e28,
99.4,101.8,3,0,#499b5a,
104.1,105.5,2,0,#467e28,
105.6,107,2,0,#467e28,
107.1,109.3,3,0,#499b5a,
109.4,110.7,1,0,#6d19c7,
111.2,112.1,1,0,#6d19c7,
112.2,113.5,1,0,#6d19c7,
115,117.3,2,0,#467e28,
121.2,122.5,1,0,#6d19c7,
123,124.5,1,0,#6d19c7,
1.5,4.4,4,0,#6deb90,
7.5,9.9,4,0,#6deb90,
12.8,14.7,4,0,#6deb90,
17.8,19,4,0,#6deb90,
24.8,25.1,4,0,#6deb90,
27.8,29.5,4,0,#6deb90,
46.1,48.4,4,0,#6deb90,
60,62.2,4,0,#6deb90,
66.8,67.7,4,0,#6deb90,
78.8,82.5,4,0,#6deb90,
90.1,92.4,4,0,#6deb90,
101.9,104,4,0,#6deb90,
110.8,111.1,4,0,#6deb90,
113.6,114.9,4,0,#6deb90,
119.2,121.1,4,0,#6deb90,
122.6,122.9,4,0,#6deb90,
124.6,126,4,0,#6deb90,
