start,end,action,object,color,description
4.2,7.5,1,0,#6d19c7,
10,13.4,2,0,#467e28,
15.3,16.5,1,0,#6d19c7,
17,18.6,1,0,#6d19c7,
19.7,26.7,2,0,#467e28,
27.4,29.4,1,0,#6d19c7,
32.1,33.4,2,0,#467e28,
34.8,36.4,1,0,#6d19c7,
36.5,37.1,1,0,#6d19c7,
39.3,41.7,1,0,#6d19c7,
41.8,43.3,2,0,#467e28,
43.4,47.6,3,0,#499b5a,
47.7,48.8,1,0,#6d19c7,
48.9,50.8,1,0,#6d19c7,
53.2,56.1,2,0,#467e28,
70,73.4,1,0,#6d19c7,
76.2,76.8,1,0,#6d19c7,
76.9,78.1,2,0,#467e28,
80.7,81.9,2,0,#467e28,
91.2,91.8,1,0,#6d19c7,
91.9,93,2,0,#467e28,
94.6,96,2,0,#467e28,
102.3,103.4,1,0,#6d19c7,
103.9,106.3,1,0,#6d19c7,
106.4,107.7,2,0,#467e28,
107.8,109.2,2,0,#467e28,
109.3,112.1,3,0,#499b5a,
114.7,116.7,2,0,#467e28,
116.8,118.8,2,0,#467e28,
116.8,123.5,3,0,#499b5a,
123.6,125.3,1,0,#6d19c7,
125.9,126.9,1,0,#6d19c7,
127,127.9,1,0,#6d19c7,
129.7,130.3,1,0,#6d19c7,
130.4,131.9,2,0,#467e28,
135.4,136.7,1,0,#6d19c7,
137.7,139.3,1,0,#6d19c7,
1.3,4.1,4,0,#6deb90,
7.6,9.9,4,0,#6deb90,
13.5,15.2,4,0,#6deb90,
18.7,19.6,4,0,#6deb90,
26.8,27.3,4,0,#6deb90,
29.5,32,4,0,#6deb90,
50.9,53.1,4,0,#6deb90,
67.5,69.9,4,0,#6deb90,
73.5,76.1,4,0,#6deb90,
78.2,80.6,4,0,#6deb90,
88.5,91.1,4,0,#6deb90,
94,94.5,4,0,#6deb90,
100,102.2,4,0,#6deb90,
103.5,103.8,4,0,#6deb90,
112.2,114.6,4,0,#6deb90,
125.4,125.8,4,0,#6deb90,
128,129.6,4,0,#6deb90,
133.5,135.3,4,0,#6deb90,
136.8,137.6,4,0,#6deb90,
139.4,141,4,0,#6deb90,
