start,end,action,object,color,description
2.2,5,1,0,#6d19c7,
5.4,7,1,0,#6d19c7,
8.3,10,2,0,#467e28,
21.9,22.8,1,0,#6d19c7,
23.5,24.5,2,0,#467e28,
29,30.3,1,0,#6d19c7,
30.4,30.8,1,0,#6d19c7,
31.3,33.1,1,0,#6d19c7,
34.1,35.6,2,0,#467e28,
38.2,39.1,1,0,#6d19c7,
39.2,40.5,1,0,#6d19c7,
41.3,43.4,2,0,#467e28,
43.9,45,1,0,#6d19c7,
47.1,49.4,2,0,#467e28,
51.3,54.4,1,0,#6d19c7,
58.1,59.6,2,0,#467e28,
64.9,68.9,2,0,#467e28,
69.7,71.7,1,0,#6d19c7,
71.8,73.3,2,0,#467e28,
73.4,75.1,3,0,#499b5a,
77,78.5,2,0,#467e28,
78.6,80.1,3,0,#499b5a,
80.2,82,1,0,#6d19c7,
83.9,85,1,0,#6d19c7,
7.1,8.2,4,0,#6deb90,
21,21.8,4,0,#6deb90,
22.9,23.4,4,0,#6deb90,
30.9,31.2,4,0,#6deb90,
33.2,34,4,0,#6deb90,
37.2,38.1,4,0,#6deb90,
40.6,41.2,4,0,#6deb90,
45.1,47,4,0,#6deb90,
49.5,51.2,4,0,#6deb90,
54.5,58,4,0,#6deb90,
63.5,64.8,4,0,#6deb90,
75.2,76.9,4,0,#6deb90,
82.1,83.8,4,0,#6deb90,
85.1,86.3,4,0,#6deb90,
